<s>            | dit            | 0.00100389495492-> 9.989966e-01   | 
naar           | de             | 0.060918867588 -> 9.408996e-01   | 
de             | normen         | 2.00658432732e-05-> 9.999799e-01   | 
normen         | van            | 0.0291332770139-> 9.712870e-01   | 
van            | de             | 0.065011061728 -> 9.370571e-01   | 
de             | <UNK>          | 0.0181621909142-> 9.820017e-01   | 
<UNK>          | Amerikaanse    | 0.000151013373397-> 9.998490e-01   | 
Amerikaanse    | banen          | 1.94962613023e-05-> 9.999805e-01   | 
banen          | zijn           | 0.00723175983876-> 9.927943e-01   | 
zijn           | zelfs          | 0.000281067506876-> 9.997190e-01   | 
zelfs          | de             | 0.0628694146872-> 9.390661e-01   | 
de             | <UNK>          | 0.0181214343756-> 9.820418e-01   | 
<UNK>          | op             | 0.00504117552191-> 9.949715e-01   | 
op             | <UNK>          | 0.0131947482005-> 9.868919e-01   | 
<UNK>          | te             | 0.00721353385597-> 9.928124e-01   | 
te             | <UNK>          | 0.0172776989639-> 9.828707e-01   | 
<UNK>          | als            | 0.00210198271088-> 9.979002e-01   | 
als            | <UNK>          | 0.0152447735891-> 9.848709e-01   | 
<UNK>          | </s>           | 0.00822223071009-> 9.918115e-01   | 
</s>           | <s>            | 0.499509215355 -> 6.068284e-01   | 
<s>            | <UNK>          | 0.0165930762887-> 9.835438e-01   | 
<UNK>          | zijn           | 0.00625679595396-> 9.937627e-01   | 
zijn           | er             | 0.00209451676346-> 9.979077e-01   | 
er             | niet           | 0.0037608675193-> 9.962462e-01   | 
niet           | </s>           | 0.00731775537133-> 9.927090e-01   | 
</s>           | <s>            | 0.499423861504 -> 6.068802e-01   | 
<s>            | wat            | 0.0011953827925-> 9.988053e-01   | 
wat            | ons            | 0.000420380820287-> 9.995797e-01   | 
ons            | verplicht      | 1.13196556413e-05-> 9.999887e-01   | 
verplicht      | Henry          | 1.07764099084e-05-> 9.999892e-01   | 
Henry          | <UNK>          | 0.0144530646503-> 9.856509e-01   | 
<UNK>          | te             | 0.00713289622217-> 9.928925e-01   | 
te             | citeren        | 1.14522044896e-05-> 9.999886e-01   | 
citeren        | die            | 0.00327605102211-> 9.967293e-01   | 
die            | de             | 0.0573026649654-> 9.443082e-01   | 
de             | <UNK>          | 0.0179877411574-> 9.821731e-01   | 
<UNK>          | omschreef      | 1.92932748178e-05-> 9.999807e-01   | 
omschreef      | als            | 0.00202971929684-> 9.979723e-01   | 
als            | de             | 0.0601210594177-> 9.416505e-01   | 
de             | dunne          | 1.37468096e-05 -> 9.999862e-01   | 
dunne          | strook         | 3.53355535481e-05-> 9.999647e-01   | 
strook         | <UNK>          | 0.0142543483526-> 9.858468e-01   | 
<UNK>          | gras           | 9.55745235842e-06-> 9.999905e-01   | 
gras           | die            | 0.00333674182184-> 9.966688e-01   | 
die            | de             | 0.0578672364354-> 9.437752e-01   | 
de             | scheiding      | 2.21622976824e-05-> 9.999778e-01   | 
scheiding      | vormt          | 9.29397174332e-06-> 9.999907e-01   | 
vormt          | tussen         | 0.000589153904002-> 9.994110e-01   | 
tussen         | twee           | 0.0011545062298-> 9.988462e-01   | 
twee           | groepen        | 1.37775605253e-05-> 9.999862e-01   | 
groepen        | <UNK>          | 0.0146673507988-> 9.854397e-01   | 
<UNK>          | die            | 0.00361063727178-> 9.963959e-01   | 
die            | in             | 0.0086868815124-> 9.913508e-01   | 
in             | the            | 0.00036248631659-> 9.996376e-01   | 
the            | <UNK>          | 0.0158363860101-> 9.842883e-01   | 
<UNK>          | naar           | 0.00156840146519-> 9.984328e-01   | 
naar           | de             | 0.0633678212762-> 9.385982e-01   | 
de             | bal            | 5.12681435794e-05-> 9.999487e-01   | 
bal            | aan            | 0.00221180147491-> 9.977906e-01   | 
aan            | het            | 0.00266693369485-> 9.973366e-01   | 
het            | zoeken         | 2.11804053833e-05-> 9.999788e-01   | 
zoeken         | zijn           | 0.00716757727787-> 9.928581e-01   | 
zijn           | </s>           | 0.00673188921064-> 9.932907e-01   | 
</s>           | <s>            | 0.499461114407 -> 6.068576e-01   | 
<s>            | <UNK>          | 0.0165930762887-> 9.835438e-01   | 
<UNK>          | had            | 0.00165322679095-> 9.983481e-01   | 
had            | wel            | 0.000956474978011-> 9.990440e-01   | 
wel            | vaker          | 2.18446075451e-05-> 9.999782e-01   | 
vaker          | een            | 0.0105448961258-> 9.895105e-01   | 
een            | scherpe        | 1.0969079085e-05-> 9.999890e-01   | 
scherpe        | definitie      | 1.23211157188e-05-> 9.999877e-01   | 
definitie      | in             | 0.0089105963707-> 9.911290e-01   | 
in             | huis           | 2.0466182832e-05-> 9.999796e-01   | 
huis           | </s>           | 0.00792649108917-> 9.921048e-01   | 
</s>           | <s>            | 0.49951851368  -> 6.068228e-01   | 
<s>            | bijvoorbeeld   | 4.5682041673e-05-> 9.999543e-01   | 
bijvoorbeeld   | voor           | 0.00346648739651-> 9.965395e-01   | 
voor           | een            | 0.0122853918001-> 9.877898e-01   | 
een            | hole           | 2.93927096209e-05-> 9.999706e-01   | 
hole           | in             | 0.00894444808364-> 9.910954e-01   | 
in             | one            | 2.24618925131e-05-> 9.999775e-01   | 
one            | </s>           | 0.00786801055074-> 9.921629e-01   | 
</s>           | <s>            | 0.499493986368 -> 6.068376e-01   | 
<s>            | bij            | 0.00169851537794-> 9.983029e-01   | 
bij            | een            | 0.0106281237677-> 9.894282e-01   | 
een            | <UNK>          | 0.0173046160489-> 9.828442e-01   | 
<UNK>          | wordt          | 0.00135702081025-> 9.986439e-01   | 
wordt          | de             | 0.0608043894172-> 9.410073e-01   | 
de             | bal            | 5.12405495101e-05-> 9.999487e-01   | 
bal            | in             | 0.0086907427758-> 9.913469e-01   | 
in             | één          | 0.000887975678779-> 9.991124e-01   | 
één          | slag           | 2.44187394856e-05-> 9.999756e-01   | 
slag           | vanop          | 1.23359222926e-05-> 9.999877e-01   | 
vanop          | de             | 0.0615752078593-> 9.402822e-01   | 
de             | thee           | 5.84966619499e-05-> 9.999415e-01   | 
thee           | tot            | 0.00195693178102-> 9.980450e-01   | 
tot            | in             | 0.00849194917828-> 9.915440e-01   | 
in             | de             | 0.0739279612899-> 9.287386e-01   | 
de             | hole           | 3.01096661133e-05-> 9.999699e-01   | 
hole           | geslagen       | 8.30408680486e-06-> 9.999917e-01   | 
geslagen       | door           | 0.00212612375617-> 9.978761e-01   | 
door           | een            | 0.0110911130905-> 9.889702e-01   | 
een            | <UNK>          | 0.0181652083993-> 9.819988e-01   | 
<UNK>          | die            | 0.00339106237516-> 9.966147e-01   | 
die            | helemaal       | 1.99638052436e-05-> 9.999800e-01   | 
helemaal       | alleen         | 0.000757839879952-> 9.992424e-01   | 
alleen         | op             | 0.00510314712301-> 9.949098e-01   | 
op             | de             | 0.0757739245892-> 9.270257e-01   | 
de             | baan           | 7.00124292052e-05-> 9.999300e-01   | 
baan           | staat          | 0.000655318493955-> 9.993449e-01   | 
staat          | </s>           | 0.00837728846818-> 9.916577e-01   | 
</s>           | <s>            | 0.49948567152  -> 6.068427e-01   | 
<s>            | door           | 0.00154909712728-> 9.984521e-01   | 
door           | de             | 0.0637079030275-> 9.382790e-01   | 
de             | wind           | 9.65402578004e-05-> 9.999034e-01   | 
wind           | en             | 0.00626918906346-> 9.937504e-01   | 
en             | het            | 0.00195451336913-> 9.980474e-01   | 
het            | hoge           | 2.04231255339e-05-> 9.999796e-01   | 
hoge           | gras           | 1.06723027784e-05-> 9.999893e-01   | 
gras           | is             | 0.00601648585871-> 9.940016e-01   | 
is             | <UNK>          | 0.013525525108 -> 9.865655e-01   | 
<UNK>          | een            | 0.0116470530629-> 9.884205e-01   | 
een            | speciale       | 1.89398160728e-05-> 9.999810e-01   | 
speciale       | baan           | 5.15482533956e-05-> 9.999484e-01   | 
baan           | </s>           | 0.00822241883725-> 9.918113e-01   | 
</s>           | <s>            | 0.499495178461 -> 6.068369e-01   | 
<s>            | normaal        | 1.06518882603e-05-> 9.999893e-01   | 
normaal        | gezien         | 2.00948634301e-05-> 9.999799e-01   | 
gezien         | niets          | 0.000248527911026-> 9.997515e-01   | 
niets          | voor           | 0.00383606832474-> 9.961713e-01   | 
voor           | de             | 0.0765319690108-> 9.263233e-01   | 
de             | Amerikanen     | 6.19663114776e-05-> 9.999380e-01   | 
Amerikanen     | en             | 0.0066891675815-> 9.933332e-01   | 
en             | dus            | 0.000494172039907-> 9.995059e-01   | 
dus            | in             | 0.00904540065676-> 9.909954e-01   | 
in             | de             | 0.0743435695767-> 9.283527e-01   | 
de             | psychologische | 1.63894892466e-05-> 9.999836e-01   | 
psychologische | voorbereiding  | 1.12096859084e-05-> 9.999888e-01   | 
voorbereiding  | op             | 0.00496946135536-> 9.950429e-01   | 
op             | de             | 0.0747940987349-> 9.279345e-01   | 
de             | Ryder          | 1.85473982128e-05-> 9.999815e-01   | 
Ryder          | Cup            | 0.000109800523205-> 9.998902e-01   | 
Cup            | een            | 0.0105087952688-> 9.895462e-01   | 
een            | grote          | 0.000779008143581-> 9.992213e-01   | 
grote          | kans           | 4.0313032514e-05-> 9.999597e-01   | 
kans           | voor           | 0.00376992695965-> 9.962372e-01   | 
voor           | Europa         | 0.00034175379551-> 9.996583e-01   | 
Europa         | </s>           | 0.00799227785319-> 9.920396e-01   | 
</s>           | <s>            | 0.49952223897  -> 6.068205e-01   | 
<s>            | Colin          | 5.80639243708e-06-> 9.999942e-01   | 
Colin          | </s>           | 0.00556878512725-> 9.944467e-01   | 
</s>           | <s>            | 0.498251914978 -> 6.075919e-01   | 
<s>            | <UNK>          | 0.0165930762887-> 9.835438e-01   | 
<UNK>          | is             | 0.00785546936095-> 9.921753e-01   | 
is             | onze           | 0.000440400093794-> 9.995597e-01   | 
onze           | grootste       | 3.51191338268e-05-> 9.999649e-01   | 
grootste       | hoop           | 2.39817254624e-05-> 9.999760e-01   | 
hoop           | </s>           | 0.0080690626055-> 9.919634e-01   | 
</s>           | <s>            | 0.499484062195 -> 6.068437e-01   | 
<s>            | heel           | 0.000215524167288-> 9.997845e-01   | 
heel           | Schotland      | 1.1314634321e-05-> 9.999887e-01   | 
Schotland      | zal            | 0.000797663349658-> 9.992027e-01   | 
zal            | zich           | 0.00130557769444-> 9.986953e-01   | 
zich           | een            | 0.0108278123662-> 9.892306e-01   | 
een            | beroerte       | 2.27211658057e-05-> 9.999773e-01   | 
beroerte       | drinken        | 1.17124454846e-05-> 9.999883e-01   | 
drinken        | als            | 0.00198905682191-> 9.980129e-01   | 
als            | Monty          | 6.96432152836e-06-> 9.999930e-01   | 
Monty          | eindelijk      | 1.54055087478e-05-> 9.999846e-01   | 
eindelijk      | zijn           | 0.00751856854185-> 9.925096e-01   | 
zijn           | eerste         | 0.000819549779408-> 9.991808e-01   | 
eerste         | major          | 1.88615704246e-05-> 9.999812e-01   | 
major          | wint           | 2.37949625443e-05-> 9.999762e-01   | 
wint           | </s>           | 0.00813491549343-> 9.918981e-01   | 
</s>           | <s>            | 0.499515235424 -> 6.068248e-01   | 
<s>            | en             | 0.00550170987844-> 9.945134e-01   | 
en             | als            | 0.00172023114283-> 9.982812e-01   | 
als            | hij            | 0.0028759513516-> 9.971282e-01   | 
hij            | hem            | 0.000958598044235-> 9.990419e-01   | 
hem            | niet           | 0.00375887355767-> 9.962482e-01   | 
niet           | wint           | 2.50168632192e-05-> 9.999750e-01   | 
wint           | ook            | 0.00195972737856-> 9.980422e-01   | 
ook            | daarvan        | 1.197192978e-05-> 9.999880e-01   | 
daarvan        | laat           | 5.0934850151e-05-> 9.999490e-01   | 
laat           | een            | 0.0107147553936-> 9.893425e-01   | 
een            | Schot          | 9.53759081312e-06-> 9.999905e-01   | 
Schot          | het            | 0.00230976706371-> 9.976929e-01   | 
het            | niet           | 0.00212084339  -> 9.978814e-01   | 
niet           | afhangen       | 6.98137091604e-06-> 9.999930e-01   | 
afhangen       | </s>           | 0.00824534520507-> 9.917886e-01   | 
</s>           | <s>            | 0.499481201172 -> 6.068454e-01   | 
<s>            | zo             | 0.000944646948483-> 9.990558e-01   | 
zo             | ernstig        | 2.06542754313e-05-> 9.999793e-01   | 
ernstig        | nemen          | 0.000147337748786-> 9.998527e-01   | 
nemen          | </s>           | 0.00759582268074-> 9.924330e-01   | 
</s>           | <s>            | 0.499365061522 -> 6.069159e-01   | 
<s>            | Schotten       | 8.87639180291e-06-> 9.999911e-01   | 
Schotten       | het            | 0.00287375692278-> 9.971304e-01   | 
het            | golf           | 6.62220772938e-05-> 9.999338e-01   | 
golf           | nu             | 0.000659796758555-> 9.993404e-01   | 
nu             | ook            | 0.00197135889903-> 9.980306e-01   | 
ook            | weer           | 0.000370536581613-> 9.996296e-01   | 
weer           | niet           | 0.00383293628693-> 9.961744e-01   | 
niet           | </s>           | 0.00768999103457-> 9.923395e-01   | 
</s>           | <s>            | 0.499503582716 -> 6.068318e-01   | 
<s>            | getuige        | 1.01250097941e-05-> 9.999899e-01   | 
getuige        | de             | 0.0600304231048-> 9.417359e-01   | 
de             | definitie      | 1.67536127265e-05-> 9.999833e-01   | 
definitie      | van            | 0.0285311732441-> 9.718720e-01   | 
van            | John           | 2.09146783163e-05-> 9.999791e-01   | 
John           | </s>           | 0.00791194848716-> 9.921193e-01   | 
</s>           | <s>            | 0.499458014965 -> 6.068595e-01   | 
<s>            | Cunningham     | 6.9593270382e-06-> 9.999930e-01   | 
Cunningham     | </s>           | 0.00549832126126-> 9.945168e-01   | 
</s>           | <s>            | 0.498235881329 -> 6.076016e-01   | 
<s>            | golf           | 4.74089829368e-05-> 9.999526e-01   | 
golf           | is             | 0.00741176726297-> 9.926156e-01   | 
is             | een            | 0.0117311356589-> 9.883374e-01   | 
een            | spel           | 2.39371765929e-05-> 9.999760e-01   | 
spel           | waarbij        | 1.86527122423e-05-> 9.999813e-01   | 
waarbij        | men            | 0.000283205125015-> 9.997168e-01   | 
men            | een            | 0.0104781864211-> 9.895765e-01   | 
een            | bal            | 5.04563140566e-05-> 9.999496e-01   | 
bal            | van            | 0.0338524244726-> 9.667141e-01   | 
van            | vier           | 0.000509157776833-> 9.994910e-01   | 
vier           | centimeter     | 5.84889348829e-05-> 9.999415e-01   | 
centimeter     | diameter       | 2.79059913737e-05-> 9.999721e-01   | 
diameter       | neerlegt       | 6.48072227705e-06-> 9.999935e-01   | 
neerlegt       | op             | 0.00480269314721-> 9.952088e-01   | 
op             | een            | 0.0125752585009-> 9.875035e-01   | 
een            | andere         | 0.000539924832992-> 9.994602e-01   | 
andere         | bal            | 4.25466205343e-05-> 9.999574e-01   | 
bal            | van            | 0.0303707066923-> 9.700859e-01   | 
van            | vier-en        | 0.000184467207873-> 9.998155e-01   | 
vier-en        | veertig        | 0.000250807905104-> 9.997492e-01   | 
veertig        | duizend        | 0.000534268852789-> 9.994659e-01   | 
duizend        | kilometer      | 5.17413791385e-05-> 9.999483e-01   | 
kilometer      | diameter       | 2.79796458926e-05-> 9.999720e-01   | 
diameter       | </s>           | 0.00836600456387-> 9.916689e-01   | 
</s>           | <s>            | 0.499527364969 -> 6.068174e-01   | 
<s>            | de             | 0.0993641167879-> 9.054130e-01   | 
de             | bedoeling      | 1.67663747561e-05-> 9.999833e-01   | 
bedoeling      | is             | 0.00545957824215-> 9.945553e-01   | 
is             | de             | 0.0692219436169-> 9.331195e-01   | 
de             | kleine         | 7.54073771532e-05-> 9.999246e-01   | 
kleine         | bal            | 4.29087995144e-05-> 9.999571e-01   | 
bal            | weg            | 4.73375730508e-05-> 9.999527e-01   | 
weg            | te             | 0.00672523444518-> 9.932973e-01   | 
te             | slaan          | 2.73268105957e-05-> 9.999727e-01   | 
slaan          | zonder         | 0.000452159903944-> 9.995480e-01   | 
zonder         | de             | 0.0591253526509-> 9.425886e-01   | 
de             | grote          | 0.000680383178405-> 9.993199e-01   | 
grote          | bal            | 4.42342061433e-05-> 9.999558e-01   | 
bal            | te             | 0.00654896441847-> 9.934725e-01   | 
te             | raken          | 1.25269516502e-05-> 9.999875e-01   | 
raken          | </s>           | 0.00858153961599-> 9.914552e-01   | 
</s>           | <s>            | 0.499469667673 -> 6.068524e-01   | 
<s>            | voor           | 0.00431438023224-> 9.956949e-01   | 
voor           | Mark           | 1.03916736407e-05-> 9.999896e-01   | 
Mark           | Twain          | 5.7310471675e-06-> 9.999943e-01   | 
Twain          | was            | 0.00294153951108-> 9.970628e-01   | 
was            | golf           | 5.54877442482e-05-> 9.999445e-01   | 
golf           | een            | 0.0112529387698-> 9.888101e-01   | 
een            | <UNK>          | 0.0183507259935-> 9.818166e-01   | 
<UNK>          | wandeling      | 9.18153364182e-06-> 9.999908e-01   | 
wandeling      | </s>           | 0.00809405744076-> 9.919386e-01   | 
</s>           | <s>            | 0.499487936497 -> 6.068413e-01   | 
<s>            | en             | 0.00550170987844-> 9.945134e-01   | 
en             | nog            | 0.00203278358094-> 9.979693e-01   | 
nog            | </s>           | 0.00676152296364-> 9.932613e-01   | 
</s>           | <s>            | 0.499097853899 -> 6.070781e-01   | 
<s>            | dat            | 0.012028504163 -> 9.880435e-01   | 
dat            | <UNK>          | 0.0156570281833-> 9.844649e-01   | 
<UNK>          | met            | 0.00459782592952-> 9.954127e-01   | 
met            | een            | 0.0108609395102-> 9.891979e-01   | 
een            | knuppel        | 1.67022135429e-05-> 9.999833e-01   | 
knuppel        | op             | 0.00457564648241-> 9.954348e-01   | 
op             | de             | 0.073897793889 -> 9.287666e-01   | 
de             | grond          | 2.31592930504e-05-> 9.999768e-01   | 
grond          | sloegen        | 6.77457273923e-06-> 9.999932e-01   | 
sloegen        | en             | 0.00666161440313-> 9.933605e-01   | 
en             | daarbij        | 2.91279284284e-05-> 9.999709e-01   | 
daarbij        | wanhopige      | 1.50171426867e-05-> 9.999850e-01   | 
wanhopige      | kreten         | 5.75994454266e-06-> 9.999942e-01   | 
kreten         | <UNK>          | 0.0142426751554-> 9.858583e-01   | 
<UNK>          | noemen         | 1.73049120349e-05-> 9.999827e-01   | 
noemen         | antropologen   | 1.0612198821e-05-> 9.999894e-01   | 
antropologen   | een            | 0.0108270663768-> 9.892313e-01   | 
een            | primitieve     | 1.62547676155e-05-> 9.999837e-01   | 
primitieve     | vorm           | 2.12714294321e-05-> 9.999787e-01   | 
vorm           | van            | 0.029920861125 -> 9.705223e-01   | 
van            | <UNK>          | 0.0144478166476-> 9.856560e-01   | 
<UNK>          | </s>           | 0.00814150925726-> 9.918916e-01   | 
</s>           | <s>            | 0.499513149261 -> 6.068260e-01   | 
<s>            | als            | 0.00344712287188-> 9.965588e-01   | 
als            | moderne        | 2.01179718715e-05-> 9.999799e-01   | 
moderne        | mensen         | 0.000143034165376-> 9.998569e-01   | 
mensen         | hetzelfde      | 1.89156980923e-05-> 9.999811e-01   | 
hetzelfde      | doen           | 0.000667636864819-> 9.993326e-01   | 
doen           | noemt          | 8.27777876111e-06-> 9.999917e-01   | 
noemt          | men            | 0.000285334739601-> 9.997147e-01   | 
men            | dat            | 0.00595020828769-> 9.940674e-01   | 
dat            | golf           | 5.40678738616e-05-> 9.999459e-01   | 
golf           | </s>           | 0.00814929232001-> 9.918838e-01   | 
</s>           | <s>            | 0.499530524015 -> 6.068155e-01   | 
<s>            | de             | 0.0993641167879-> 9.054130e-01   | 
de             | Amerikaanse    | 0.000136455666507-> 9.998636e-01   | 
Amerikaanse    | komiek         | 7.18635055819e-06-> 9.999928e-01   | 
komiek         | Bob            | 8.8171891548e-06-> 9.999912e-01   | 
Bob            | Hope           | 5.92262131249e-06-> 9.999941e-01   | 
Hope           | was            | 0.00290990248322-> 9.970943e-01   | 
was            | in             | 0.0101086581126-> 9.899423e-01   | 
in             | de             | 0.0753115639091-> 9.274545e-01   | 
de             | combinatie     | 1.28201554617e-05-> 9.999872e-01   | 
combinatie     | <UNK>          | 0.0132608953863-> 9.868267e-01   | 
<UNK>          | de             | 0.0651768669486-> 9.369017e-01   | 
de             | primus         | 2.84182387986e-05-> 9.999716e-01   | 
primus         | <UNK>          | 0.012525850907 -> 9.875523e-01   | 
<UNK>          | <UNK>          | 0.0152043653652-> 9.849107e-01   | 
<UNK>          | </s>           | 0.00810418929905-> 9.919286e-01   | 
</s>           | <s>            | 0.499491602182 -> 6.068391e-01   | 
<s>            | las            | 1.91277777049e-05-> 9.999809e-01   | 
las            | bij            | 0.00131904578302-> 9.986818e-01   | 
bij            | het            | 0.00276387366466-> 9.972399e-01   | 
het            | begin          | 4.29830179201e-05-> 9.999570e-01   | 
begin          | van            | 0.0308219026774-> 9.696482e-01   | 
van            | zijn           | 0.00785286724567-> 9.921779e-01   | 
zijn           | eigen          | 0.000358065823093-> 9.996420e-01   | 
eigen          | beruchte       | 7.00409145793e-06-> 9.999930e-01   | 
beruchte       | <UNK>          | 0.0145946685225-> 9.855113e-01   | 
<UNK>          | altijd         | 0.000387113774195-> 9.996130e-01   | 
altijd         | zelf           | 0.000633723917417-> 9.993665e-01   | 
zelf           | de             | 0.063477575779 -> 9.384952e-01   | 
de             | <UNK>          | 0.0182962454855-> 9.818701e-01   | 
<UNK>          | voor           | 0.00393083039671-> 9.960769e-01   | 
voor           | en             | 0.00755944056436-> 9.924691e-01   | 
en             | vermeldde      | 1.0692536307e-05-> 9.999893e-01   | 
vermeldde      | dan            | 0.00307300454006-> 9.969317e-01   | 
dan            | bij            | 0.00136545940768-> 9.986355e-01   | 
bij            | elke           | 0.000186663251952-> 9.998134e-01   | 
elke           | speler         | 2.20808942686e-05-> 9.999779e-01   | 
speler         | zijn           | 0.00773232942447-> 9.922975e-01   | 
zijn           | handicap       | 9.48020806391e-06-> 9.999905e-01   | 
handicap       | </s>           | 0.00850289966911-> 9.915332e-01   | 
</s>           | <s>            | 0.499506473541 -> 6.068301e-01   | 
<s>            | dat            | 0.012028504163 -> 9.880435e-01   | 
dat            | ging           | 7.97563116066e-05-> 9.999202e-01   | 
ging           | als            | 0.00215423689224-> 9.978481e-01   | 
als            | volgt          | 2.58222680714e-05-> 9.999742e-01   | 
volgt          | </s>           | 0.00774979032576-> 9.922802e-01   | 
</s>           | <s>            | 0.499440580606 -> 6.068701e-01   | 
<s>            | Jack           | 1.04522659967e-05-> 9.999896e-01   | 
Jack           | Lemon          | 2.60318756773e-05-> 9.999740e-01   | 
Lemon          | zeven-en       | 0.000116432915092-> 9.998836e-01   | 
zeven-en       | twintig        | 0.000605189823546-> 9.993950e-01   | 
twintig        | </s>           | 0.00759082799777-> 9.924379e-01   | 
</s>           | <s>            | 0.499435186386 -> 6.068733e-01   | 
<s>            | Gerald         | 1.14304239105e-05-> 9.999886e-01   | 
Gerald         | Ford           | 2.50748926192e-05-> 9.999749e-01   | 
Ford           | president      | 0.000169028091477-> 9.998310e-01   | 
president      | van            | 0.0266635008156-> 9.736888e-01   | 
van            | de             | 0.0673669651151-> 9.348521e-01   | 
de             | </s>           | 0.00345123466104-> 9.965547e-01   | 
</s>           | <s>            | 0.49921298027  -> 6.070082e-01   | 
<s>            | Verenigde      | 2.41015677602e-05-> 9.999759e-01   | 
Verenigde      | Staten         | 3.00267638522e-05-> 9.999700e-01   | 
Staten         | </s>           | 0.00688624149188-> 9.931374e-01   | 
</s>           | <s>            | 0.499147862196 -> 6.070477e-01   | 
<s>            | Sammy          | 1.13769483505e-05-> 9.999886e-01   | 
Sammy          | Davis          | 2.15503769141e-05-> 9.999784e-01   | 
Davis          | junior         | 1.12432171591e-05-> 9.999887e-01   | 
junior         | zwart          | 1.10434430098e-05-> 9.999890e-01   | 
zwart          | en             | 0.00672849453986-> 9.932941e-01   | 
en             | één          | 0.000770379672758-> 9.992299e-01   | 
één          | oog            | 5.35433682671e-05-> 9.999465e-01   | 
oog            | </s>           | 0.00843936763704-> 9.915962e-01   | 
</s>           | <s>            | 0.499502569437 -> 6.068324e-01   | 
<s>            | Jack           | 1.0452051356e-05-> 9.999896e-01   | 
Jack           | Lemon          | 2.60349970631e-05-> 9.999740e-01   | 
Lemon          | was            | 0.00283628539182-> 9.971677e-01   | 
was            | op             | 0.00532695883885-> 9.946872e-01   | 
op             | die            | 0.00391564518213-> 9.960920e-01   | 
die            | <UNK>          | 0.0155728114769-> 9.845478e-01   | 
<UNK>          | altijd         | 0.000386888335925-> 9.996132e-01   | 
altijd         | een            | 0.0108434613794-> 9.892151e-01   | 
een            | attractie      | 1.13060104923e-05-> 9.999887e-01   | 
attractie      | op             | 0.00481567485258-> 9.951959e-01   | 
op             | zich           | 0.00145000300836-> 9.985511e-01   | 
zich           | </s>           | 0.00821678061038-> 9.918169e-01   | 
</s>           | <s>            | 0.499525219202 -> 6.068187e-01   | 
<s>            | <UNK>          | 0.0165930781513-> 9.835438e-01   | 
<UNK>          | Phil           | 2.70240743703e-05-> 9.999730e-01   | 
Phil           | Harris         | 2.15223117266e-05-> 9.999785e-01   | 
Harris         | zuchtte        | 1.01365494629e-05-> 9.999899e-01   | 
zuchtte        | ooit           | 4.66117198812e-05-> 9.999534e-01   | 
ooit           | </s>           | 0.00793395843357-> 9.920974e-01   | 
</s>           | <s>            | 0.499477922916 -> 6.068474e-01   | 
<s>            | Jack           | 1.04520995592e-05-> 9.999896e-01   | 
Jack           | Lemon          | 2.60348915617e-05-> 9.999740e-01   | 
Lemon          | is             | 0.00656243646517-> 9.934590e-01   | 
is             | in             | 0.0100404163823-> 9.900098e-01   | 
in             | meer           | 0.00132892199326-> 9.986719e-01   | 
meer           | bunkers        | 6.62121965433e-06-> 9.999934e-01   | 
bunkers        | geweest        | 6.83586476953e-05-> 9.999316e-01   | 
geweest        | dan            | 0.00309209991246-> 9.969127e-01   | 
dan            | Eva            | 1.33750072564e-05-> 9.999866e-01   | 
Eva            | Braun          | 1.09382290248e-05-> 9.999890e-01   | 
Braun          | </s>           | 0.00821665674448-> 9.918170e-01   | 
</s>           | <s>            | 0.4995264709   -> 6.068180e-01   | 
<s>            | maar           | 0.00834812503308-> 9.916866e-01   | 
maar           | ook            | 0.00226884149015-> 9.977337e-01   | 
ook            | voor           | 0.00411026319489-> 9.958982e-01   | 
voor           | dit            | 0.000867919414304-> 9.991325e-01   | 
dit            | soort          | 2.62116082013e-05-> 9.999738e-01   | 
soort          | <UNK>          | 0.0141973039135-> 9.859030e-01   | 
<UNK>          | zijn           | 0.00823683850467-> 9.917970e-01   | 
zijn           | er             | 0.00198094290681-> 9.980210e-01   | 
er             | twee           | 0.00116607302334-> 9.988346e-01   | 
twee           | zaken          | 2.57167885138e-05-> 9.999743e-01   | 
zaken          | waarmee        | 3.17029116559e-05-> 9.999683e-01   | 
waarmee        | niet           | 0.00379533600062-> 9.962119e-01   | 
niet           | te             | 0.0062771984376-> 9.937425e-01   | 
te             | spotten        | 1.93026480702e-05-> 9.999807e-01   | 
spotten        | valt           | 2.80815365841e-05-> 9.999719e-01   | 
valt           | </s>           | 0.0082294922322-> 9.918043e-01   | 
</s>           | <s>            | 0.499510765076 -> 6.068275e-01   | 
<s>            | het            | 0.00598850799724-> 9.940294e-01   | 
het            | eerste         | 0.00062235572841-> 9.993778e-01   | 
eerste         | is             | 0.00546516152099-> 9.945498e-01   | 
is             | de             | 0.0698717460036-> 9.325134e-01   | 
de             | Royal          | 1.53404616867e-05-> 9.999847e-01   | 
Royal          | and            | 4.91854661959e-05-> 9.999508e-01   | 
and            | <UNK>          | 0.0143889086321-> 9.857141e-01   | 
<UNK>          | </s>           | 0.00807626359165-> 9.919562e-01   | 
</s>           | <s>            | 0.499475687742 -> 6.068488e-01   | 
<s>            | haar           | 0.000302933593048-> 9.996971e-01   | 
haar           | <UNK>          | 0.0162045042962-> 9.839261e-01   | 
<UNK>          | is             | 0.00725016370416-> 9.927760e-01   | 
is             | <UNK>          | 0.0144135458395-> 9.856898e-01   | 
<UNK>          | </s>           | 0.0076992358081-> 9.923303e-01   | 
