input           | target          | original0       <-> cbow_tfidf_soft0 || best model: 0:first, 1:second
in              | meer            | 7.27614831924   <-> 7.38415575027   || 0
meer            | bunkers         | 12.670964241    <-> 12.2965078354   || 1
bunkers         | geweest         | 6.94405317307   <-> 6.59966135025   || 1
geweest         | dan             | 4.53775882721   <-> 4.47066736221   || 1
dan             | Eva             | 10.2571601868   <-> 11.0933523178   || 0
Eva             | Braun           | 10.3565740585   <-> 8.40943622589   || 1
Braun           | </s>            | 1.51727569103   <-> 1.13554286957   || 1
<s>             | maar            | 4.00632476807   <-> 3.71331453323   || 1
maar            | ook             | 3.95337152481   <-> 3.46501803398   || 1
ook             | voor            | 4.21892642975   <-> 3.76804947853   || 1
voor            | dit             | 5.4385933876    <-> 5.11557483673   || 1
dit             | soort           | 3.47528600693   <-> 3.0872938633    || 1
soort           | <UNK>           | 1.84869265556   <-> 1.88281476498   || 0
<UNK>           | zijn            | 3.93267583847   <-> 3.9451508522    || 0
zijn            | er              | 2.67844009399   <-> 2.01841163635   || 1
er              | twee            | 5.23976612091   <-> 4.85080909729   || 1
twee            | zaken           | 7.72311258316   <-> 7.5971288681    || 1
zaken           | waarmee         | 7.60725212097   <-> 7.98031377792   || 0
waarmee         | niet            | 5.50841283798   <-> 5.99578523636   || 0
niet            | te              | 4.28250980377   <-> 3.69420146942   || 1
te              | spotten         | 10.1566295624   <-> 8.60383987427   || 1
spotten         | valt            | 5.27034521103   <-> 4.4954252243    || 1
valt            | </s>            | 0.880857229233  <-> 0.74291831255   || 1
<s>             | het             | 2.76126670837   <-> 2.80581140518   || 0
het             | eerste          | 5.04461193085   <-> 5.25265884399   || 0
eerste          | is              | 2.75008630753   <-> 3.01479816437   || 0
is              | de              | 2.29923915863   <-> 2.55756735802   || 0
de              | Royal           | 10.5390882492   <-> 11.1603164673   || 0
Royal           | and             | 8.35308456421   <-> 6.67189359665   || 1
and             | <UNK>           | 1.08748400211   <-> 1.204387784     || 0
<UNK>           | </s>            | 2.05191516876   <-> 1.60279917717   || 1
<s>             | haar            | 5.9391283989    <-> 6.73570299149   || 0
haar            | <UNK>           | 2.18033647537   <-> 2.60844802856   || 0
<UNK>           | is              | 2.38697528839   <-> 2.73582077026   || 0
is              | <UNK>           | 3.48964476585   <-> 4.32955980301   || 0
<UNK>           | </s>            | 1.79214060307   <-> 1.29172742367   || 1
<s>             | of              | 5.78487348557   <-> 5.8644285202    || 0
of              | wat             | 4.6450548172    <-> 5.17845439911   || 0
wat             | dacht           | 7.51013994217   <-> 8.13078308105   || 0
dacht           | u               | 4.17608070374   <-> 4.51216506958   || 0
u               | van             | 4.81700801849   <-> 4.37551927567   || 1
van             | dit             | 5.44031524658   <-> 5.56654644012   || 0
dit             | artikel         | 6.70683002472   <-> 5.97485113144   || 1
artikel         | uit             | 4.96269321442   <-> 5.06247329712   || 0
uit             | het             | 2.3148560524    <-> 1.97932171822   || 1
het             | reglement       | 9.14817428589   <-> 8.65539550781   || 1
reglement       | </s>            | 1.22214877605   <-> 1.25796556473   || 0
<s>             | een             | 3.35139155388   <-> 3.64563417435   || 0
een             | speler          | 8.8079366684    <-> 7.92159366608   || 1
speler          | die             | 2.73414516449   <-> 2.54927968979   || 1
die             | een             | 3.04350590706   <-> 3.33570456505   || 0
een             | verkeerd        | 8.99950408936   <-> 8.66513824463   || 1
verkeerd        | shot            | 10.0826148987   <-> 10.0607872009   || 1
shot            | neemt           | 6.36751937866   <-> 6.79059457779   || 0
neemt           | omdat           | 5.94519996643   <-> 6.53272533417   || 0
omdat           | op              | 6.08043384552   <-> 6.05004358292   || 1
op              | het             | 2.18053364754   <-> 2.09401226044   || 1
het             | moment          | 3.43599534035   <-> 3.32357144356   || 1
moment          | van             | 1.87916970253   <-> 2.14329600334   || 0
van             | de              | 1.07422292233   <-> 1.18047094345   || 0
de              | slag            | 7.60670042038   <-> 8.47514915466   || 0
slag            | in              | 3.05827879906   <-> 3.03924274445   || 1
in              | de              | 1.143425107     <-> 1.22774660587   || 0
de              | onmiddellijke   | 9.29484939575   <-> 8.94371891022   || 1
onmiddellijke   | nabijheid       | 8.6825799942    <-> 7.85928916931   || 1
nabijheid       | een             | 5.22445631027   <-> 4.48452472687   || 1
een             | bom             | 8.23026657104   <-> 7.59016752243   || 1
bom             | ontplofte       | 9.63568782806   <-> 8.75426483154   || 1
ontplofte       | mag             | 6.7230758667    <-> 6.6076259613    || 1
mag             | vanop           | 10.0770626068   <-> 9.59077262878   || 1
vanop           | dezelfde        | 5.88872432709   <-> 6.06738471985   || 0
dezelfde        | plaats          | 4.18646383286   <-> 4.24702501297   || 0
plaats          | opnieuw         | 6.71187496185   <-> 6.87030696869   || 0
opnieuw         | slaan           | 8.40505123138   <-> 8.33618545532   || 1
slaan           | maar            | 3.82286906242   <-> 4.08543539047   || 0
maar            | er              | 4.17151260376   <-> 3.95251560211   || 1
er              | wordt           | 3.24974894524   <-> 2.81205701828   || 1
wordt           | hem             | 5.90861940384   <-> 6.66031074524   || 0
hem             | wel             | 4.7206363678    <-> 4.67714691162   || 1
wel             | een             | 2.48864483833   <-> 2.72503376007   || 0
een             | <UNK>           | 2.08076882362   <-> 2.44488739967   || 0
<UNK>           | aangerekend     | 10.0795688629   <-> 9.60408115387   || 1
aangerekend     | </s>            | 0.743348658085  <-> 0.541751801968  || 1
<s>             | dat             | 3.66342949867   <-> 3.80668210983   || 0
dat             | is              | 1.53567445278   <-> 1.6140859127    || 0
is              | iets            | 5.4795293808    <-> 5.84561634064   || 0
iets            | anders          | 3.50597429276   <-> 3.31299901009   || 1
anders          | dan             | 1.70603621006   <-> 1.93580365181   || 0
dan             | de              | 2.22851037979   <-> 2.19734621048   || 1
de              | UCI             | 10.1024541855   <-> 10.2890529633   || 0
UCI             | nietwaar        | 11.8677453995   <-> 12.0330295563   || 0
nietwaar        | </s>            | 0.423810273409  <-> 0.293130964041  || 1
<s>             | en              | 4.02233982086   <-> 4.06346845627   || 0
en              | het             | 3.31100678444   <-> 2.87476110458   || 1
het             | tweede          | 6.59141921997   <-> 6.53900909424   || 1
tweede          | waarmee         | 9.34821033478   <-> 8.86752223969   || 1
waarmee         | niet            | 5.28073883057   <-> 6.07188415527   || 0
niet            | gelachen        | 10.1120920181   <-> 10.1094264984   || 1
gelachen        | wordt           | 2.53006529808   <-> 2.35511255264   || 1
wordt           | is              | 3.17759919167   <-> 3.10355520248   || 1
is              | de              | 2.39260554314   <-> 1.95982003212   || 1
de              | Ryder           | 13.1023082733   <-> 12.6056995392   || 1
Ryder           | Cup             | 8.03568840027   <-> 4.06334400177   || 1
Cup             | </s>            | 1.11341810226   <-> 1.47003757954   || 0
<s>             | <UNK>           | 3.19907140732   <-> 3.1544175148    || 1
<UNK>           | ter             | 8.38068580627   <-> 8.44229125977   || 0
ter             | behoud          | 15.339963913    <-> 16.1751899719   || 0
behoud          | of              | 5.79431009293   <-> 7.00240802765   || 0
of              | ter             | 9.1049747467    <-> 9.16218185425   || 0
ter             | herovering      | 14.1024227142   <-> 14.6887731552   || 0
herovering      | van             | 0.828913629055  <-> 0.493654638529  || 1
van             | de              | 0.967482805252  <-> 0.858467459679  || 1
de              | legendarische   | 7.88503789902   <-> 9.35437393188   || 0
legendarische   | beker           | 8.38358211517   <-> 9.09454536438   || 0
beker           | die             | 3.50481414795   <-> 4.23535776138   || 0
die             | de              | 2.10719752312   <-> 2.23549008369   || 0
de              | Britse          | 6.33459424973   <-> 6.06835317612   || 1
Britse          | zakenman        | 6.68813323975   <-> 6.04181480408   || 1
zakenman        | Samuel          | 9.08354949951   <-> 8.61734676361   || 1
Samuel          | A               | 9.07742786407   <-> 7.75455188751   || 1
A               | Ryder           | 11.9244346619   <-> 12.6618185043   || 0
Ryder           | in              | 3.2135682106    <-> 3.12475442886   || 1
in              | negentien       | 2.95058584213   <-> 3.44667100906   || 0
negentien       | honderd         | 0.00316856452264 <-> 0.0100415535271 || 0
honderd         | zeven-en        | 2.17117190361   <-> 2.21189641953   || 0
zeven-en        | twintig         | 3.2909989357    <-> 3.43307852745   || 0
twintig         | liet            | 6.20911407471   <-> 5.2450633049    || 1
liet            | ontwerpen       | 9.8901386261    <-> 8.0984992981    || 1
ontwerpen       | </s>            | 2.30715560913   <-> 2.28323888779   || 1
<s>             | als             | 4.65169143677   <-> 4.40732049942   || 1
als             | we              | 4.80018901825   <-> 3.47443699837   || 1
we              | de              | 2.55536985397   <-> 2.41840529442   || 1
de              | </s>            | 9.52331161499   <-> 10.1912288666   || 0
<s>             | Amerikanen      | 9.83556747437   <-> 9.86839866638   || 0
Amerikanen      | de              | 5.08034324646   <-> 4.90951299667   || 1
de              | laatste         | 4.95301151276   <-> 5.33989429474   || 0
laatste         | jaren           | 3.04302597046   <-> 3.37112259865   || 0
jaren           | op              | 3.75011181831   <-> 3.79599738121   || 0
op              | één           | 5.24439811707   <-> 5.50216245651   || 0
één           | domein          | 10.3821325302   <-> 10.0193729401   || 1
domein          | de              | 4.17210578918   <-> 3.67507600784   || 1
de              | baas            | 7.81178379059   <-> 8.04257583618   || 0
baas            | waren           | 5.21748352051   <-> 6.18491220474   || 0
waren           | dan             | 5.43342542648   <-> 5.07584381104   || 1
dan             | was             | 4.78764104843   <-> 7.62131500244   || 0
was             | het             | 1.87665212154   <-> 2.28405857086   || 0
het             | in              | 3.89141869545   <-> 3.94274353981   || 0
in              | de              | 1.17432868481   <-> 1.25668621063   || 0
de              | Ryder           | 13.5204820633   <-> 13.6584711075   || 0
Ryder           | Cup             | 6.75273609161   <-> 3.00275039673   || 1
Cup             | </s>            | 1.73332965374   <-> 1.18484258652   || 1
<s>             | de              | 1.76283049583   <-> 1.99175584316   || 0
de              | tussenstand     | 10.2051372528   <-> 11.0869617462   || 0
tussenstand     | is              | 2.85970973969   <-> 2.74380016327   || 1
is              | weliswaar       | 7.39038467407   <-> 7.30882358551   || 1
weliswaar       | van             | 4.45040130615   <-> 4.50787067413   || 0
van             | drie-en         | 6.45058679581   <-> 5.53333473206   || 1
drie-en         | twintig         | 0.859039306641  <-> 1.22940039635   || 0
twintig         | tot             | 1.2110594511    <-> 0.966164946556  || 1
tot             | zeven           | 3.70060253143   <-> 3.69117712975   || 1
zeven           | voor            | 5.27874040604   <-> 5.26375293732   || 1
voor            | de              | 1.09124565125   <-> 1.50267589092   || 0
de              | Amerikanen      | 7.67109012604   <-> 7.92706203461   || 0
Amerikanen      | maar            | 4.25493764877   <-> 4.57617282867   || 0
maar            | </s>            | 5.78089809418   <-> 5.84351921082   || 0
<s>             | Europa          | 8.23277568817   <-> 8.0499420166    || 1
Europa          | is              | 2.31405997276   <-> 2.36379241943   || 0
is              | de              | 2.49013400078   <-> 2.74402928352   || 0
de              | kloof           | 6.55476570129   <-> 7.8700633049    || 0
kloof           | langzaam        | 11.025604248    <-> 11.6287069321   || 0
langzaam        | maar            | 3.81095600128   <-> 3.96227025986   || 0
maar            | zeker           | 6.43137788773   <-> 6.34923124313   || 1
zeker           | aan             | 4.94858074188   <-> 5.15376758575   || 0
aan             | het             | 2.07671070099   <-> 1.9406273365    || 1
het             | dichten         | 11.2099409103   <-> 11.0515651703   || 1
dichten         | </s>            | 1.23925876617   <-> 1.63960838318   || 0
<s>             | met             | 4.84860897064   <-> 4.79509496689   || 1
met             | een             | 1.98389542103   <-> 1.97440993786   || 1
een             | beetje          | 5.95875787735   <-> 5.28913974762   || 1
beetje          | geluk           | 7.8748755455    <-> 7.11172676086   || 1
geluk           | hebben          | 4.69779968262   <-> 5.17771148682   || 0
hebben          | we              | 1.58236217499   <-> 1.45495975018   || 1
we              | ze              | 5.63727521896   <-> 5.06677627563   || 1
ze              | in              | 3.40616178513   <-> 3.39512634277   || 1
in              | twee            | 4.60661268234   <-> 5.11471176147   || 0
twee            | duizend         | 0.54105079174   <-> 0.761400103569  || 0
duizend         | negen-en        | 7.93159627914   <-> 6.04587268829   || 1
negen-en        | twintig         | 1.52291762829   <-> 1.75675320625   || 0
twintig         | te              | 5.25222301483   <-> 5.17553138733   || 1
te              | pakken          | 5.85845565796   <-> 5.56649494171   || 1
pakken          | </s>            | 0.694107174873  <-> 0.511476397514  || 1
<s>             | op              | 4.19731664658   <-> 4.31437730789   || 0
op              | drie-en         | 6.32561969757   <-> 6.2090921402    || 1
drie-en         | twintig         | 0.533688485622  <-> 0.751254439354  || 0
twintig         | september       | 2.54884290695   <-> 2.76732349396   || 0
september       | beginnen        | 7.58824300766   <-> 8.33864879608   || 0
beginnen        | we              | 2.36427760124   <-> 2.94735622406   || 0
we              | eraan           | 7.19912385941   <-> 8.40314292908   || 0
eraan           | deze            | 8.29316234589   <-> 8.19888305664   || 1
deze            | keer            | 3.13333010674   <-> 4.72844219208   || 0
keer            | op              | 3.15335607529   <-> 3.34191250801   || 0
op              | The             | 9.33898830414   <-> 8.98032093048   || 1
The             | <UNK>           | 1.45937001705   <-> 0.786799967289  || 1
<UNK>           | Country         | 11.8760957718   <-> 11.4657373428   || 1
Country         | </s>            | 1.52824819088   <-> 2.22605848312   || 0
<s>             | club            | 7.88531684875   <-> 8.31049919128   || 0
club            | in              | 3.45579123497   <-> 4.50224781036   || 0
in              | de              | 1.54455208778   <-> 1.51759374142   || 1
de              | staat           | 7.05175018311   <-> 8.20888900757   || 0
staat           | Massachusetts   | 12.9432296753   <-> 12.2222957611   || 1
Massachusetts   | </s>            | 1.76423847675   <-> 1.71756339073   || 1
<s>             | <UNK>           | 3.04267835617   <-> 3.1544175148    || 0
<UNK>           | we              | 7.09382724762   <-> 7.35989522934   || 0
we              | de              | 3.95452833176   <-> 3.7060945034    || 1
de              | woorden         | 7.9264831543    <-> 7.040974617     || 1
woorden         | van             | 1.6329267025    <-> 0.955602645874  || 1
van             | Ben             | 9.58270454407   <-> 8.89520168304   || 1
Ben             | <UNK>           | 1.54405641556   <-> 1.44078099728   || 1
<UNK>           | </s>            | 1.46196353436   <-> 1.77862477303   || 0
<s>             | ik              | 3.30787563324   <-> 3.52736139297   || 0
ik              | speel           | 6.33719873428   <-> 6.46396875381   || 0
speel           | soms            | 6.34093141556   <-> 5.88382339478   || 1
soms            | met             | 3.95888781548   <-> 3.79702591896   || 1
met             | vrienden        | 7.29033470154   <-> 7.04112291336   || 1
vrienden        | maar            | 3.93581199646   <-> 3.64426064491   || 1
maar            | nooit           | 6.61632633209   <-> 6.50208950043   || 1
nooit           | vriendschappelijk | 12.9559631348   <-> 13.280081749    || 0
vriendschappelijk | </s>            | 1.46106934547   <-> 1.62514472008   || 0
<s>             | dat             | 3.53288578987   <-> 3.80668210983   || 0
dat             | is              | 1.65541160107   <-> 1.61408603191   || 1
is              | de              | 3.05001211166   <-> 2.67668437958   || 1
de              | enige           | 3.85522270203   <-> 3.1665892601    || 1
enige           | juiste          | 8.41250228882   <-> 8.71323490143   || 0
juiste          | attitude        | 9.80501461029   <-> 9.05163097382   || 1
attitude        | </s>            | 0.85851174593   <-> 1.17337942123   || 0
<s>             | golf            | 12.5627336502   <-> 11.6074419022   || 1
golf            | is              | 2.63012981415   <-> 3.35056829453   || 0
is              | niet            | 3.02168560028   <-> 3.1232585907    || 0
niet            | om              | 4.99482345581   <-> 5.23146057129   || 0
om              | te              | 2.91962242126   <-> 3.0980861187    || 0
te              | lachen          | 5.31541252136   <-> 5.29434585571   || 1
lachen          | </s>            | 0.549311876297  <-> 0.868289709091  || 0
<s>             | een             | 3.71859550476   <-> 3.64563417435   || 1
een             | wimpel          | 13.6722917557   <-> 13.8058137894   || 0
wimpel          | voor            | 3.35346531868   <-> 3.44893312454   || 0
voor            | Gent            | 8.6457862854    <-> 6.9360575676    || 1
Gent            | </s>            | 1.25493013859   <-> 1.94124317169   || 0
<s>             | kunst           | 9.24930667877   <-> 9.24571037292   || 1
kunst           | </s>            | 3.02283334732   <-> 2.79961895943   || 1
<s>             | Gent            | 8.66171360016   <-> 7.86131906509   || 1
Gent            | eist            | 8.15273666382   <-> 7.01060676575   || 1
eist            | almaar          | 9.97950077057   <-> 9.86362552643   || 1
almaar          | nadrukkelijker  | 7.88429784775   <-> 5.92839717865   || 1
nadrukkelijker  | de              | 2.72859454155   <-> 2.78623771667   || 0
de              | blauwe          | 8.69390392303   <-> 9.28924942017   || 0
blauwe          | wimpel          | 13.4757041931   <-> 12.8537464142   || 1
wimpel          | van             | 2.28332829475   <-> 1.84769642353   || 1
van             | nationale       | 8.92830944061   <-> 9.04031085968   || 0
nationale       | <UNK>           | 1.59974348545   <-> 1.88984417915   || 0
<UNK>           | op              | 3.91377425194   <-> 3.92932319641   || 0
op              | </s>            | 2.32995271683   <-> 2.72222805023   || 0
<s>             | met             | 4.61892843246   <-> 4.79509496689   || 0
met             | grote           | 6.17133998871   <-> 6.3025932312    || 0
grote           | regelmaat       | 8.46382236481   <-> 6.09382152557   || 1
regelmaat       | maakt           | 6.80630588531   <-> 6.26054573059   || 1
maakt           | de              | 1.67032253742   <-> 1.61045467854   || 1
de              | fine            | 11.8489580154   <-> 11.3951816559   || 1
fine            | fleur           | 11.0502376556   <-> 7.83258247375   || 1
fleur           | van             | 0.726891279221  <-> 0.381395727396  || 1
van             | de              | 1.14042508602   <-> 0.957637667656  || 1
de              | elektronische   | 8.63007736206   <-> 8.86282062531   || 0
elektronische   | muziek          | 5.57878494263   <-> 4.6958937645    || 1
muziek          | haar            | 6.1437625885    <-> 6.18344163895   || 0
haar            | opwachting      | 7.03854370117   <-> 6.96045923233   || 1
opwachting      | tijdens         | 7.03647947311   <-> 7.13638925552   || 0
tijdens         | </s>            | 3.79419231415   <-> 4.79615592957   || 0
<s>             | I               | 8.88599300385   <-> 9.33512783051   || 0
I               | love            | 6.39120674133   <-> 5.36013126373   || 1
love            | techno          | 9.47484397888   <-> 8.93831443787   || 1
techno          | de              | 4.91564750671   <-> 4.51203727722   || 1
de              | </s>            | 8.18733787537   <-> 7.5984287262    || 1
<s>             | ten             | 7.64994239807   <-> 7.29974794388   || 1
ten             | days            | 10.6127347946   <-> 14.3746051788   || 0
days            | of              | 5.32475852966   <-> 5.15690755844   || 1
of              | techno          | 9.30254364014   <-> 9.34066009521   || 0
techno          | </s>            | 1.89926028252   <-> 2.10439801216   || 0
<s>             | de              | 2.16382431984   <-> 1.99175584316   || 1
de              | snelle          | 8.40155792236   <-> 8.18547344208   || 1
snelle          | evoluties       | 9.84527683258   <-> 10.001367569    || 0
evoluties       | in              | 2.7462348938    <-> 2.79369878769   || 0
in              | de              | 1.1714631319    <-> 1.16807770729   || 1
de              | wereld          | 4.90128040314   <-> 4.73001480103   || 1
wereld          | van             | 2.47594475746   <-> 2.19782853127   || 1
van             | <UNK>           | 1.9765150547    <-> 2.81721019745   || 0
<UNK>           | en              | 2.13506340981   <-> 2.63293623924   || 0
en              | beats           | 9.26160621643   <-> 11.7307491302   || 0
beats           | dwingen         | 11.2180233002   <-> 9.62426757812   || 1
dwingen         | </s>            | 4.33466291428   <-> 4.33764696121   || 0
<s>             | ten             | 7.54525470734   <-> 7.29974794388   || 1
ten             | days            | 10.5031204224   <-> 14.3746051788   || 0
days            | tot             | 6.51451063156   <-> 8.67021369934   || 0
tot             | een             | 2.36291861534   <-> 2.64119100571   || 0
een             | herschikking    | 11.7264194489   <-> 10.8296413422   || 1
herschikking    | </s>            | 2.9717874527    <-> 3.62166404724   || 0
<s>             | techno          | 10.2885913849   <-> 11.9485292435   || 0
techno          | is              | 3.31044626236   <-> 2.45890307426   || 1
is              | immers          | 6.55474758148   <-> 5.90620803833   || 1
immers          | niet            | 3.27716350555   <-> 2.91618490219   || 1
niet            | langer          | 4.71513271332   <-> 4.43263101578   || 1
langer          | afdoende        | 11.4950637817   <-> 11.0679454803   || 1
afdoende        | om              | 4.12248802185   <-> 4.29722690582   || 0
om              | de              | 1.89966857433   <-> 1.82738876343   || 1
de              | brede           | 8.36745452881   <-> 8.61251544952   || 0
brede           | waaier          | 8.09430217743   <-> 7.57285070419   || 1
waaier          | van             | 0.829958021641  <-> 1.08112668991   || 0
van             | stijlen         | 8.55528354645   <-> 8.32095146179   || 1
stijlen         | en              | 2.03038167953   <-> 1.83606410027   || 1
en              | <UNK>           | 2.02335166931   <-> 2.34853410721   || 0
<UNK>           | te              | 1.29019260406   <-> 1.71560096741   || 0
te              | dragen          | 5.10461711884   <-> 5.28008937836   || 0
dragen          | </s>            | 0.353598058224  <-> 0.455900251865  || 0
<s>             | daarom          | 6.22590351105   <-> 6.07058620453   || 1
daarom          | heet            | 6.87592029572   <-> 8.10010242462   || 0
heet            | het             | 2.02541685104   <-> 1.90045034885   || 1
het             | tiendaagse      | 13.1822490692   <-> 12.819319725    || 1
tiendaagse      | festival        | 7.3399066925    <-> 6.84955739975   || 1
festival        | in              | 2.78015708923   <-> 2.72139310837   || 1
in              | de              | 1.36605167389   <-> 1.39043426514   || 0
de              | marge           | 7.68794536591   <-> 6.81399679184   || 1
marge           | van             | 0.468666493893  <-> 0.315095424652  || 1
van             | de              | 1.00219523907   <-> 1.02656078339   || 0
de              | Gentse          | 6.2143034935    <-> 5.92819309235   || 1
Gentse          | </s>            | 6.96444654465   <-> 6.88235998154   || 1
<s>             | feesten         | 11.5917205811   <-> 11.5907859802   || 1
feesten         | voortaan        | 9.88048171997   <-> 10.1447563171   || 0
voortaan        | </s>            | 3.23213505745   <-> 3.07920694351   || 1
<s>             | ten             | 7.60833454132   <-> 7.29974794388   || 1
ten             | days            | 10.696723938    <-> 14.3746051788   || 0
days            | off             | 10.5071926117   <-> 9.84290504456   || 1
off             | </s>            | 3.73931312561   <-> 2.23215174675   || 1
<s>             | de              | 2.2321138382    <-> 1.99175584316   || 1
de              | hoorn           | 9.80308818817   <-> 11.0902433395   || 0
hoorn           | des             | 7.17675065994   <-> 7.02765798569   || 1
des             | <UNK>           | 1.28812861443   <-> 1.11121487617   || 1
<UNK>           | zorgt           | 7.68891954422   <-> 7.72887802124   || 0
zorgt           | er              | 4.02474403381   <-> 3.90139579773   || 1
er              | ook             | 3.29092168808   <-> 2.95592164993   || 1
ook             | voor            | 3.37933778763   <-> 2.18864059448   || 1
voor            | dat             | 3.75193595886   <-> 3.43212962151   || 1
dat             | een             | 3.03767585754   <-> 3.13252830505   || 0
een             | aantal          | 5.3279299736    <-> 4.83439302444   || 1
aantal          | avonden         | 8.69339179993   <-> 9.6582660675    || 0
avonden         | een             | 2.89647340775   <-> 3.04281663895   || 0
een             | specifiek       | 9.12524414062   <-> 8.60791015625   || 1
specifiek       | etiket          | 8.43370437622   <-> 7.65825796127   || 1
etiket          | krijgt          | 6.39284944534   <-> 5.90704727173   || 1
krijgt          | opgekleefd      | 13.0649442673   <-> 12.6615581512   || 1
opgekleefd      | </s>            | 0.981429457664  <-> 0.876353383064  || 1
<s>             | zo              | 5.0537109375    <-> 5.29072618484   || 0
zo              | zijn            | 3.38803362846   <-> 3.76882481575   || 0
zijn            | er              | 1.96477603912   <-> 2.00562763214   || 0
er              | <UNK>           | 3.67995429039   <-> 4.06403923035   || 0
<UNK>           | rond            | 6.86623096466   <-> 6.30958509445   || 1
rond            | de              | 1.43057966232   <-> 1.69005513191   || 0
de              | Britse          | 7.36020278931   <-> 6.60610485077   || 1
Britse          | DJ              | 8.9269733429    <-> 9.19103908539   || 0
DJ              | producer        | 9.3927936554    <-> 10.1033182144   || 0
producer        | Andrew          | 7.95253276825   <-> 6.63295125961   || 1
Andrew          | <UNK>           | 1.34185922146   <-> 1.25312483311   || 1
<UNK>           | en              | 2.78676342964   <-> 2.25618720055   || 1
en              | het             | 3.34787940979   <-> 3.65365362167   || 0
het             | Planet          | 12.4315071106   <-> 12.676317215    || 0
Planet          | <UNK>           | 1.41557645798   <-> 1.01859307289   || 1
<UNK>           | van             | 2.45298624039   <-> 2.02505016327   || 1
van             | <UNK>           | 1.91111683846   <-> 1.85133862495   || 1
<UNK>           | Carl            | 9.41298103333   <-> 9.09439182281   || 1
Carl            | Craig           | 9.07655715942   <-> 9.12806892395   || 0
Craig           | </s>            | 2.66170024872   <-> 2.07279205322   || 1
<s>             | de              | 1.93006515503   <-> 1.99175584316   || 0
de              | nieuwe          | 5.04132652283   <-> 4.70830059052   || 1
nieuwe          | Franse          | 6.63556957245   <-> 6.40629482269   || 1
Franse          | lichting        | 9.47232627869   <-> 9.83877849579   || 0
lichting        | komt            | 7.2183713913    <-> 8.31804084778   || 0
komt            | met             | 3.34148812294   <-> 3.68676710129   || 0
met             | een             | 1.65209627151   <-> 1.80357277393   || 0
een             | busje           | 10.111369133    <-> 10.0626497269   || 1
busje           | en              | 3.1855340004    <-> 3.37580728531   || 0
en              | schuift         | 10.3344488144   <-> 10.1822986603   || 1
schuift         | met             | 4.39025020599   <-> 4.63377046585   || 0
met             | de              | 1.73695957661   <-> 1.8141283989    || 0
de              | nodige          | 7.40931224823   <-> 5.7494802475    || 1
nodige          | fierheid        | 11.0954961777   <-> 10.5916938782   || 1
fierheid        | <UNK>           | 3.92081451416   <-> 4.28175640106   || 0
<UNK>           | naar            | 5.39989757538   <-> 4.8143119812    || 1
naar            | voren           | 6.2048664093    <-> 5.15882873535   || 1
voren           | </s>            | 0.886629343033  <-> 0.607129514217  || 1
<s>             | het             | 2.74325728416   <-> 2.80581140518   || 0
het             | trio            | 7.07755756378   <-> 7.60096645355   || 0
trio            | mengt           | 10.0714683533   <-> 10.0145425797   || 1
mengt           | elektro         | 12.9489173889   <-> 13.0031776428   || 0
elektro         | disco           | 11.3140716553   <-> 10.9175987244   || 1
disco           | house           | 9.86956310272   <-> 8.42422771454   || 1
house           | techno          | 9.66537094116   <-> 7.94131660461   || 1
techno          | en              | 1.66057550907   <-> 1.42126762867   || 1
en              | hiphop          | 7.52738857269   <-> 7.11022377014   || 1
hiphop          | en              | 1.91227781773   <-> 2.06561040878   || 0
en              | meldt           | 11.2941303253   <-> 10.4395332336   || 1
meldt           | zich            | 4.2892203331    <-> 4.64505958557   || 0
zich            | als             | 4.3462934494    <-> 4.24076795578   || 1
als             | de              | 2.01067590714   <-> 2.10030412674   || 0
de              | opvolger        | 9.3393497467    <-> 7.74824380875   || 1
opvolger        | van             | 0.652035593987  <-> 0.350726425648  || 1
van             | Daft            | 11.2944364548   <-> 11.0119037628   || 1
Daft            | Punk            | 10.7769880295   <-> 8.52495861053   || 1
Punk            | en              | 2.48658370972   <-> 2.09120821953   || 1
en              | Cassius         | 11.9835634232   <-> 12.2786607742   || 0
Cassius         | </s>            | 2.54241275787   <-> 2.65556240082   || 0
<s>             | een             | 3.38843274117   <-> 3.64563417435   || 0
een             | andere          | 5.12948608398   <-> 4.4285697937    || 1
andere          | <UNK>           | 1.82792520523   <-> 2.13321471214   || 0
<UNK>           | is              | 2.82576918602   <-> 2.56805896759   || 1
is              | de              | 2.74805784225   <-> 2.3874642849    || 1
de              | markante        | 11.5626049042   <-> 11.9294729233   || 0
markante        | Britse          | 7.68575954437   <-> 7.70806503296   || 0
Britse          | DJ              | 8.38958358765   <-> 8.26599407196   || 1
DJ              | <UNK>           | 1.49609649181   <-> 1.56650626659   || 0
<UNK>           | <UNK>           | 1.85281002522   <-> 1.91231679916   || 0
<UNK>           | </s>            | 1.69991397858   <-> 1.13006150723   || 1
<s>             | sinds           | 6.60194969177   <-> 6.6414809227    || 0
sinds           | het             | 2.42124986649   <-> 2.62152218819   || 0
het             | midden          | 5.63176345825   <-> 5.14961338043   || 1
midden          | van             | 0.276368886232  <-> 0.519641160965  || 0
van             | de              | 0.997200965881  <-> 0.892355024815  || 1
de              | jaren           | 3.69058036804   <-> 2.32604432106   || 1
jaren           | zeventig        | 2.28923678398   <-> 2.09161138535   || 1
zeventig        | is              | 2.6406929493    <-> 2.96995568275   || 0
is              | de              | 1.65101516247   <-> 1.50573575497   || 1
