input           | target          | original0       <-> cbow_exp_lstm0  || best model: 0:first, 1:second
festival        | in              | 2.78015708923   <-> 2.710927248     || 1
in              | de              | 1.36605167389   <-> 1.39553678036   || 0
de              | marge           | 7.68794536591   <-> 6.97667789459   || 1
marge           | van             | 0.468666493893  <-> 0.410856932402  || 1
van             | de              | 1.00219523907   <-> 0.989696919918  || 1
de              | Gentse          | 6.2143034935    <-> 5.63769245148   || 1
Gentse          | </s>            | 6.96444654465   <-> 6.86569213867   || 1
<s>             | feesten         | 11.5917205811   <-> 11.3059463501   || 1
feesten         | voortaan        | 9.88048171997   <-> 9.80562973022   || 1
voortaan        | </s>            | 3.23213505745   <-> 3.31074500084   || 0
<s>             | ten             | 7.60833454132   <-> 7.3102388382    || 1
ten             | days            | 10.696723938    <-> 13.2156143188   || 0
days            | off             | 10.5071926117   <-> 10.3875761032   || 1
off             | </s>            | 3.73931312561   <-> 2.77504825592   || 1
<s>             | de              | 2.2321138382    <-> 1.91787528992   || 1
de              | hoorn           | 9.80308818817   <-> 10.3843173981   || 0
hoorn           | des             | 7.17675065994   <-> 6.41014623642   || 1
des             | <UNK>           | 1.28812861443   <-> 0.956713199615  || 1
<UNK>           | zorgt           | 7.68891954422   <-> 7.37832832336   || 1
zorgt           | er              | 4.02474403381   <-> 3.6386475563    || 1
er              | ook             | 3.29092168808   <-> 3.05555677414   || 1
ook             | voor            | 3.37933778763   <-> 2.49229669571   || 1
voor            | dat             | 3.75193595886   <-> 3.5934586525    || 1
dat             | een             | 3.03767585754   <-> 3.39508104324   || 0
een             | aantal          | 5.3279299736    <-> 5.16940784454   || 1
aantal          | avonden         | 8.69339179993   <-> 8.73152256012   || 0
avonden         | een             | 2.89647340775   <-> 3.17161226273   || 0
een             | specifiek       | 9.12524414062   <-> 8.72304916382   || 1
specifiek       | etiket          | 8.43370437622   <-> 8.278673172     || 1
etiket          | krijgt          | 6.39284944534   <-> 6.09330463409   || 1
krijgt          | opgekleefd      | 13.0649442673   <-> 13.178155899    || 0
opgekleefd      | </s>            | 0.981429457664  <-> 0.883538782597  || 1
<s>             | zo              | 5.0537109375    <-> 4.99352264404   || 1
zo              | zijn            | 3.38803362846   <-> 4.00492668152   || 0
zijn            | er              | 1.96477603912   <-> 1.56935334206   || 1
er              | <UNK>           | 3.67995429039   <-> 3.90693044662   || 0
<UNK>           | rond            | 6.86623096466   <-> 6.93813371658   || 0
rond            | de              | 1.43057966232   <-> 1.6201479435    || 0
de              | Britse          | 7.36020278931   <-> 7.00654268265   || 1
Britse          | DJ              | 8.9269733429    <-> 8.98243713379   || 0
DJ              | producer        | 9.3927936554    <-> 9.89837646484   || 0
producer        | Andrew          | 7.95253276825   <-> 6.80228948593   || 1
Andrew          | <UNK>           | 1.34185922146   <-> 1.14034879208   || 1
<UNK>           | en              | 2.78676342964   <-> 2.47349119186   || 1
en              | het             | 3.34787940979   <-> 3.65968608856   || 0
het             | Planet          | 12.4315071106   <-> 12.4031572342   || 1
Planet          | <UNK>           | 1.41557645798   <-> 1.13830816746   || 1
<UNK>           | van             | 2.45298624039   <-> 2.72699761391   || 0
van             | <UNK>           | 1.91111683846   <-> 2.04087209702   || 0
<UNK>           | Carl            | 9.41298103333   <-> 9.45869064331   || 0
Carl            | Craig           | 9.07655715942   <-> 8.18792057037   || 1
Craig           | </s>            | 2.66170024872   <-> 1.76501059532   || 1
<s>             | de              | 1.93006515503   <-> 2.05609154701   || 0
de              | nieuwe          | 5.04132652283   <-> 4.6771736145    || 1
nieuwe          | Franse          | 6.63556957245   <-> 6.43554639816   || 1
Franse          | lichting        | 9.47232627869   <-> 8.205037117     || 1
lichting        | komt            | 7.2183713913    <-> 6.69942474365   || 1
komt            | met             | 3.34148812294   <-> 3.81062555313   || 0
met             | een             | 1.65209627151   <-> 1.71733736992   || 0
een             | busje           | 10.111369133    <-> 10.6935348511   || 0
busje           | en              | 3.1855340004    <-> 3.06877040863   || 1
en              | schuift         | 10.3344488144   <-> 10.4455461502   || 0
schuift         | met             | 4.39025020599   <-> 4.22171592712   || 1
met             | de              | 1.73695957661   <-> 1.64765393734   || 1
de              | nodige          | 7.40931224823   <-> 6.60627412796   || 1
nodige          | fierheid        | 11.0954961777   <-> 11.0090427399   || 1
fierheid        | <UNK>           | 3.92081451416   <-> 4.07486534119   || 0
<UNK>           | naar            | 5.39989757538   <-> 5.55533790588   || 0
naar            | voren           | 6.2048664093    <-> 5.38268089294   || 1
voren           | </s>            | 0.886629343033  <-> 0.472018182278  || 1
<s>             | het             | 2.74325728416   <-> 2.72289991379   || 1
het             | trio            | 7.07755756378   <-> 6.70666313171   || 1
trio            | mengt           | 10.0714683533   <-> 9.43058013916   || 1
mengt           | elektro         | 12.9489173889   <-> 13.3104162216   || 0
elektro         | disco           | 11.3140716553   <-> 11.6126537323   || 0
disco           | house           | 9.86956310272   <-> 8.78416061401   || 1
house           | techno          | 9.66537094116   <-> 8.25021648407   || 1
techno          | en              | 1.66057550907   <-> 1.07305192947   || 1
en              | hiphop          | 7.52738857269   <-> 6.8500957489    || 1
hiphop          | en              | 1.91227781773   <-> 1.75890302658   || 1
en              | meldt           | 11.2941303253   <-> 11.005569458    || 1
meldt           | zich            | 4.2892203331    <-> 4.35624885559   || 0
zich            | als             | 4.3462934494    <-> 4.25826931      || 1
als             | de              | 2.01067590714   <-> 2.22959852219   || 0
de              | opvolger        | 9.3393497467    <-> 7.78653144836   || 1
opvolger        | van             | 0.652035593987  <-> 0.583880901337  || 1
van             | Daft            | 11.2944364548   <-> 10.7939500809   || 1
Daft            | Punk            | 10.7769880295   <-> 8.23710823059   || 1
Punk            | en              | 2.48658370972   <-> 2.00259566307   || 1
en              | Cassius         | 11.9835634232   <-> 11.4663057327   || 1
Cassius         | </s>            | 2.54241275787   <-> 2.68508243561   || 0
<s>             | een             | 3.38843274117   <-> 3.42921471596   || 0
een             | andere          | 5.12948608398   <-> 4.82878875732   || 1
andere          | <UNK>           | 1.82792520523   <-> 1.71028184891   || 1
<UNK>           | is              | 2.82576918602   <-> 2.72389173508   || 1
is              | de              | 2.74805784225   <-> 2.83256363869   || 0
de              | markante        | 11.5626049042   <-> 10.9566011429   || 1
markante        | Britse          | 7.68575954437   <-> 8.31199455261   || 0
Britse          | DJ              | 8.38958358765   <-> 7.90727519989   || 1
DJ              | <UNK>           | 1.49609649181   <-> 1.87466442585   || 0
<UNK>           | <UNK>           | 1.85281002522   <-> 1.74092459679   || 1
<UNK>           | </s>            | 1.69991397858   <-> 1.43242061138   || 1
<s>             | sinds           | 6.60194969177   <-> 6.99699115753   || 0
sinds           | het             | 2.42124986649   <-> 2.67580366135   || 0
het             | midden          | 5.63176345825   <-> 5.43385791779   || 1
midden          | van             | 0.276368886232  <-> 0.416705191135  || 0
van             | de              | 0.997200965881  <-> 0.905223011971  || 1
de              | jaren           | 3.69058036804   <-> 2.64201951027   || 1
jaren           | zeventig        | 2.28923678398   <-> 1.90956532955   || 1
zeventig        | is              | 2.6406929493    <-> 2.97376537323   || 0
is              | de              | 1.65101516247   <-> 1.55619585514   || 1
de              | voormalige      | 7.61112689972   <-> 7.26534223557   || 1
voormalige      | Schotse         | 9.03543758392   <-> 8.09300899506   || 1
Schotse         | <UNK>           | 1.09634590149   <-> 1.71700227261   || 0
<UNK>           | op              | 4.30010223389   <-> 4.41027784348   || 0
op              | zoek            | 4.05105304718   <-> 3.90319347382   || 1
zoek            | naar            | 0.558078169823  <-> 0.370905995369  || 1
naar            | sterke          | 9.7142534256    <-> 9.00953197479   || 1
sterke          | maar            | 8.72613143921   <-> 7.62157821655   || 1
maar            | <UNK>           | 3.06208825111   <-> 2.13334536552   || 1
<UNK>           | funk            | 9.66589927673   <-> 9.6321811676    || 1
funk            | en              | 2.14585232735   <-> 1.75046396255   || 1
en              | <UNK>           | 1.62777543068   <-> 1.37511062622   || 1
<UNK>           | </s>            | 1.27384376526   <-> 1.30240857601   || 0
<s>             | door            | 5.73524713516   <-> 5.80788612366   || 0
door            | de              | 1.26953136921   <-> 1.17961633205   || 1
de              | zaak            | 7.71196269989   <-> 7.88097667694   || 0
zaak            | exclusief       | 11.7863540649   <-> 11.2711553574   || 1
exclusief       | te              | 4.78653812408   <-> 3.93334960938   || 1
te              | houden          | 5.19065237045   <-> 4.68192577362   || 1
houden          | heeft           | 3.71664357185   <-> 4.19730186462   || 0
heeft           | hij             | 2.14580726624   <-> 1.92226970196   || 1
hij             | in              | 3.4418592453    <-> 3.41637992859   || 1
in              | eigen           | 5.85366916656   <-> 5.59038686752   || 1
eigen           | land            | 3.90593743324   <-> 1.88381993771   || 1
land            | een             | 1.89662408829   <-> 2.26736736298   || 0
een             | fanatiek        | 10.8602371216   <-> 11.1604557037   || 0
fanatiek        | publiek         | 5.48698043823   <-> 5.74131155014   || 0
publiek         | opgebouwd       | 5.97544670105   <-> 5.89088344574   || 1
opgebouwd       | </s>            | 1.00631725788   <-> 1.02063679695   || 0
<s>             | sinds           | 6.73298883438   <-> 6.76948451996   || 0
sinds           | enkele          | 5.98626899719   <-> 4.804251194     || 1
enkele          | jaren           | 0.991113781929  <-> 0.629813432693  || 1
jaren           | brengt          | 7.16868972778   <-> 7.53350305557   || 0
brengt          | hij             | 2.19658946991   <-> 1.89034426212   || 1
hij             | zijn            | 4.53504323959   <-> 4.38072395325   || 1
zijn            | schatten        | 11.1028738022   <-> 12.0093040466   || 0
schatten        | uit             | 3.92105221748   <-> 3.58304595947   || 1
uit             | op              | 4.58457994461   <-> 4.40107059479   || 1
op              | de              | 1.343272686     <-> 1.35110545158   || 0
de              | <UNK>           | 1.82418978214   <-> 1.71848082542   || 1
<UNK>           | </s>            | 1.37742400169   <-> 1.7198073864    || 0
<s>             | <UNK>           | 2.90319156647   <-> 2.88590431213   || 1
<UNK>           | deep            | 11.7979507446   <-> 11.8038492203   || 0
deep            | funk            | 9.03681373596   <-> 9.5756816864    || 0
funk            | en              | 2.5325088501    <-> 1.82454693317   || 1
en              | wisselt         | 12.3073968887   <-> 11.2570562363   || 1
wisselt         | hij             | 5.55945062637   <-> 4.29102325439   || 1
hij             | druk            | 10.4773387909   <-> 10.3302984238   || 1
druk            | plaatjes        | 13.6606998444   <-> 13.1826591492   || 1
plaatjes        | met             | 2.7019572258    <-> 3.2255384922    || 0
met             | DJ              | 8.81758880615   <-> 9.55658626556   || 0
DJ              | Shadow          | 10.7859716415   <-> 9.92052745819   || 1
Shadow          | </s>            | 1.60854578018   <-> 1.22703051567   || 1
<s>             | opmerkelijk     | 8.8634929657    <-> 8.88881969452   || 0
opmerkelijk     | is              | 1.73115408421   <-> 1.47619903088   || 1
is              | het             | 2.77420639992   <-> 2.37118768692   || 1
het             | zware           | 9.46307659149   <-> 9.02074623108   || 1
zware           | accent          | 7.48690605164   <-> 8.05208206177   || 0
accent          | dat             | 3.82050037384   <-> 3.13953089714   || 1
dat             | gelegd          | 14.3861255646   <-> 13.0141773224   || 1
gelegd          | wordt           | 2.90095376968   <-> 2.50962615013   || 1
wordt           | op              | 2.88167095184   <-> 3.20804834366   || 0
op              | drum'n'bass     | 11.6597585678   <-> 10.877204895    || 1
drum'n'bass     | </s>            | 1.07568025589   <-> 1.03277719021   || 1
<s>             | de              | 1.96400415897   <-> 2.05565667152   || 0
de              | snelle          | 8.33245277405   <-> 8.19750785828   || 1
snelle          | en              | 5.29965782166   <-> 5.05703306198   || 1
en              | technisch       | 9.37997817993   <-> 8.97265052795   || 1
technisch       | behoorlijk      | 10.6847667694   <-> 10.4599142075   || 1
behoorlijk      | ingenieuze      | 10.3194904327   <-> 9.95153331757   || 1
ingenieuze      | <UNK>           | 1.50215816498   <-> 1.90976953506   || 0
<UNK>           | was             | 4.26289463043   <-> 4.89764928818   || 0
was             | immers          | 6.20009422302   <-> 5.98625946045   || 1
immers          | al              | 4.16262102127   <-> 3.42214250565   || 1
al              | opgegeven       | 11.0330963135   <-> 10.1785335541   || 1
opgegeven       | </s>            | 0.826590061188  <-> 0.713093400002  || 1
<s>             | de              | 1.9009950161    <-> 2.01769542694   || 0
de              | mislukte        | 10.4521627426   <-> 9.77372074127   || 1
mislukte        | poging          | 7.86231327057   <-> 6.81428432465   || 1
poging          | om              | 2.0611140728    <-> 1.9009693861    || 1
om              | het             | 2.56290197372   <-> 2.64432954788   || 0
het             | brede           | 8.19889068604   <-> 8.58549499512   || 0
brede           | publiek         | 3.8225839138    <-> 3.52512907982   || 1
publiek         | te              | 1.31620025635   <-> 1.47842657566   || 0
te              | bereiken        | 5.30295848846   <-> 4.10093784332   || 1
bereiken        | is              | 1.96280145645   <-> 2.3182914257    || 0
is              | echter          | 6.15384483337   <-> 5.20854902267   || 1
echter          | een             | 2.24948310852   <-> 2.50331926346   || 0
een             | creatieve       | 8.48714256287   <-> 8.72525787354   || 0
creatieve       | zegen           | 9.59979248047   <-> 9.36527061462   || 1
zegen           | gebleken        | 10.4162683487   <-> 10.427614212    || 0
gebleken        | </s>            | 1.01834952831   <-> 0.919791460037  || 1
<s>             | in              | 3.24750971794   <-> 3.24707150459   || 1
in              | de              | 1.16724169254   <-> 1.20689642429   || 0
de              | ondergrond      | 9.10401725769   <-> 9.61386585236   || 0
ondergrond      | <UNK>           | 3.73309803009   <-> 3.99145936966   || 0
<UNK>           | en              | 4.28903150558   <-> 4.54747676849   || 0
en              | <UNK>           | 2.24269151688   <-> 1.62946641445   || 1
<UNK>           | het             | 4.35324764252   <-> 4.14968776703   || 1
het             | als             | 6.47187614441   <-> 6.22845649719   || 1
als             | nooit           | 7.29670524597   <-> 9.47218608856   || 0
nooit           | tevoren         | 8.6166229248    <-> 8.53350162506   || 1
tevoren         | en              | 3.89541101456   <-> 3.67487287521   || 1
en              | wordt           | 6.1343960762    <-> 5.93000078201   || 1
wordt           | een             | 2.73327088356   <-> 2.71892428398   || 1
een             | nieuwe          | 4.73445415497   <-> 4.37486934662   || 1
nieuwe          | sprong          | 9.40028476715   <-> 8.25410652161   || 1
sprong          | voorwaarts      | 7.90311765671   <-> 5.45707988739   || 1
voorwaarts      | voorbereid      | 8.70467853546   <-> 8.10546016693   || 1
voorbereid      | </s>            | 0.693974733353  <-> 0.52056157589   || 1
<s>             | ten             | 7.35170936584   <-> 7.26403141022   || 1
ten             | days            | 11.1419687271   <-> 13.7785148621   || 0
days            | off             | 10.9951477051   <-> 10.4570398331   || 1
off             | gaat            | 6.56465244293   <-> 5.18562078476   || 1
gaat            | evenveel        | 9.77502155304   <-> 9.57871723175   || 1
evenveel        | naar            | 4.56360816956   <-> 4.39875841141   || 1
naar            | toen            | 8.89482784271   <-> 9.75578117371   || 0
toen            | als             | 5.83646392822   <-> 5.54692173004   || 1
als             | naar            | 8.34681987762   <-> 7.04941368103   || 1
naar            | straks          | 11.5806722641   <-> 12.28399086     || 0
straks          | </s>            | 4.22463798523   <-> 3.97756171227   || 1
<s>             | hoewel          | 7.0067987442    <-> 6.95672369003   || 1
hoewel          | de              | 1.80626237392   <-> 1.53844678402   || 1
de              | elektronica     | 9.8646364212    <-> 10.461066246    || 0
elektronica     | wordt           | 4.8603849411    <-> 5.46700572968   || 0
wordt           | voorgesteld     | 6.18542385101   <-> 5.58326530457   || 1
voorgesteld     | als             | 4.52485466003   <-> 3.48041677475   || 1
als             | een             | 2.53906965256   <-> 2.17883777618   || 1
een             | snoepje         | 10.1656341553   <-> 10.0136423111   || 1
snoepje         | van             | 2.21884965897   <-> 2.68958830833   || 0
van             | hier            | 8.0804233551    <-> 8.48264884949   || 0
hier            | en              | 3.4150352478    <-> 3.09310221672   || 1
en              | nu              | 5.9785118103    <-> 5.5578494072    || 1
nu              | heeft           | 5.45593833923   <-> 5.11408519745   || 1
heeft           | ze              | 2.68023538589   <-> 3.31921696663   || 0
ze              | een             | 2.08176827431   <-> 2.11701107025   || 0
een             | lange           | 6.29585599899   <-> 6.16427326202   || 1
lange           | geschiedenis    | 7.05782556534   <-> 6.41622304916   || 1
geschiedenis    | </s>            | 2.24586296082   <-> 2.07912015915   || 1
<s>             | de              | 2.02287578583   <-> 2.06566691399   || 0
de              | grote           | 5.2920665741    <-> 5.23839664459   || 1
grote           | aandacht        | 7.00022506714   <-> 6.9516210556    || 1
aandacht        | zorgt           | 6.92231321335   <-> 8.09307670593   || 0
zorgt           | ervoor          | 3.67337226868   <-> 2.85984706879   || 1
ervoor          | dat             | 0.691851437092  <-> 0.581836283207  || 1
dat             | de              | 1.58858704567   <-> 1.54622006416   || 1
de              | pioniers        | 9.93881797791   <-> 10.25431633     || 0
pioniers        | mogen           | 9.09708499908   <-> 8.11140441895   || 1
mogen           | en              | 5.54281139374   <-> 5.0500998497    || 1
en              | durven          | 8.79360198975   <-> 8.29057788849   || 1
durven          | buitenkomen     | 12.6088399887   <-> 12.0980186462   || 1
buitenkomen     | </s>            | 1.14053273201   <-> 1.14665210247   || 0
<s>             | zo              | 5.00561475754   <-> 4.79942512512   || 1
zo              | maakt           | 6.03301620483   <-> 5.0946726799    || 1
maakt           | de              | 1.6327958107    <-> 1.5396437645    || 1
de              | Amerikaanse     | 5.87919712067   <-> 6.2531619072    || 0
Amerikaanse     | oud-strijder    | 12.5375270844   <-> 11.6049499512   || 1
oud-strijder    | François       | 9.03675174713   <-> 7.88957548141   || 1
François       | </s>            | 5.34482288361   <-> 6.14651679993   || 0
<s>             | <UNK>           | 3.11381959915   <-> 2.86522531509   || 1
<UNK>           | zijn            | 4.22391986847   <-> 4.22519207001   || 0
zijn            | debuut          | 8.21319675446   <-> 8.06596374512   || 1
debuut          | op              | 3.09901547432   <-> 3.02405595779   || 1
op              | Belgische       | 8.90779304504   <-> 8.29842472076   || 1
Belgische       | bodem           | 4.95081043243   <-> 4.76361274719   || 1
bodem           | </s>            | 0.870736300945  <-> 0.979174137115  || 0
<s>             | de              | 1.8083460331    <-> 1.91013014317   || 0
de              | man             | 5.20024204254   <-> 5.46347665787   || 0
man             | maakte          | 5.64179182053   <-> 5.33095741272   || 1
maakte          | gezwind         | 12.0912885666   <-> 11.8904256821   || 1
gezwind         | de              | 3.04636049271   <-> 2.65012979507   || 1
de              | overstap        | 8.97132492065   <-> 8.67591571808   || 1
overstap        | van             | 1.2608319521    <-> 1.324406147     || 0
van             | disco           | 11.6025238037   <-> 11.950712204    || 0
disco           | naar            | 4.54526901245   <-> 5.25987195969   || 0
naar            | house           | 10.2314243317   <-> 10.4383831024   || 0
house           | en              | 1.40657103062   <-> 1.38420939445   || 1
en              | zag             | 8.52093505859   <-> 7.57118844986   || 1
zag             | zeer            | 7.99699306488   <-> 7.59682607651   || 1
zeer            | vroeg           | 7.81023693085   <-> 7.42936563492   || 1
vroeg           | het             | 3.95890283585   <-> 4.52277135849   || 0
het             | nut             | 8.49924087524   <-> 8.61682987213   || 0
nut             | van             | 0.604116201401  <-> 0.39825257659   || 1
van             | remixen         | 12.7930984497   <-> 13.1121797562   || 0
remixen         | in              | 3.00520920753   <-> 2.82769203186   || 1
in              | </s>            | 2.84640240669   <-> 4.3563952446    || 0
<s>             | <UNK>           | 2.82487440109   <-> 2.98447537422   || 0
<UNK>           | werkte          | 7.25067329407   <-> 6.76714038849   || 1
werkte          | zowel           | 7.19038295746   <-> 7.06273174286   || 1
zowel           | met             | 4.00007247925   <-> 3.12041521072   || 1
met             | Kraftwerk       | 12.4596920013   <-> 11.546877861    || 1
Kraftwerk       | als             | 4.64182376862   <-> 3.38411045074   || 1
als             | met             | 5.83674430847   <-> 5.89571666718   || 0
met             | Diana           | 10.7833070755   <-> 10.6295080185   || 1
Diana           | Ross            | 10.1686172485   <-> 9.4526424408    || 1
Ross            | en              | 3.12833309174   <-> 2.31545972824   || 1
en              | wordt           | 7.02162027359   <-> 7.64783525467   || 0
wordt           | tot             | 5.94550848007   <-> 5.52308654785   || 1
tot             | de              | 2.21008062363   <-> 2.06413221359   || 1
de              | beste           | 5.61776065826   <-> 4.5696182251    || 1
beste           | dj's            | 9.93999767303   <-> 10.5848369598   || 0
dj's            | aller           | 7.72077512741   <-> 7.92305517197   || 0
aller           | tijden          | 2.48683023453   <-> 0.125233501196  || 1
tijden          | gerekend        | 8.85667133331   <-> 8.72247982025   || 1
gerekend        | </s>            | 0.49937492609   <-> 0.65075480938   || 0
<s>             | mooi            | 8.62407207489   <-> 8.85960292816   || 0
mooi            | <UNK>           | 2.15040373802   <-> 3.11789560318   || 0
<UNK>           | </s>            | 2.66013383865   <-> 2.049264431     || 1
<s>             | een             | 3.18470668793   <-> 3.4989464283    || 0
een             | hogedrukgebied  | 8.92953968048   <-> 8.8797044754    || 1
hogedrukgebied  | neemt           | 7.70805120468   <-> 6.6963262558    || 1
neemt           | het             | 3.06168341637   <-> 2.81693077087   || 1
het             | heft            | 8.53014755249   <-> 6.87637424469   || 1
heft            | in              | 2.52692556381   <-> 2.18234729767   || 1
in              | handen          | 5.81828594208   <-> 5.34989833832   || 1
handen          | en              | 2.94323825836   <-> 2.2758243084    || 1
en              | bezorgt         | 10.6155090332   <-> 9.98558139801   || 1
bezorgt         | West-Europa     | 12.5408325195   <-> 11.8034801483   || 1
West-Europa     | een             | 2.67988944054   <-> 2.39336442947   || 1
een             | rustige         | 7.92151260376   <-> 7.20528697968   || 1
rustige         | en              | 5.33427047729   <-> 5.66426563263   || 0
en              | mooie           | 6.68184757233   <-> 6.37259531021   || 1
mooie           | periode         | 6.33042621613   <-> 5.98377132416   || 1
periode         | </s>            | 1.54010820389   <-> 1.6950480938    || 0
<s>             | onder           | 6.45342636108   <-> 6.36051654816   || 1
onder           | aanvoer         | 12.264550209    <-> 12.3692111969   || 0
aanvoer         | van             | 0.576046288013  <-> 0.24421851337   || 1
van             | een             | 2.52156996727   <-> 2.74794006348   || 0
een             | zuidelijke      | 9.88446998596   <-> 9.40378761292   || 1
zuidelijke      | stroming        | 6.84764051437   <-> 4.62660884857   || 1
stroming        | is              | 2.67008209229   <-> 3.00113320351   || 0
is              | de              | 1.65829312801   <-> 1.80621707439   || 0
de              | zon             | 4.73287630081   <-> 3.84044289589   || 1
zon             | van             | 3.64918136597   <-> 3.10795259476   || 1
van             | de              | 1.29910731316   <-> 1.20866370201   || 1
de              | partij          | 8.03689002991   <-> 10.3400726318   || 0
partij          | en              | 2.88854408264   <-> 3.31632518768   || 0
en              | komt            | 6.60259532928   <-> 5.79622840881   || 1
komt            | de              | 2.71793651581   <-> 1.98000347614   || 1
de              | twintig         | 7.72622013092   <-> 8.9050617218    || 0
twintig         | <UNK>           | 3.08138084412   <-> 2.93631076813   || 1
<UNK>           | binnen          | 6.14383029938   <-> 5.78618383408   || 1
binnen          | handbereik      | 8.13958263397   <-> 7.01546096802   || 1
handbereik      | </s>            | 0.602181971073  <-> 0.582455337048  || 1
<s>             | krijgen         | 9.90458011627   <-> 10.0769309998   || 0
krijgen         | we              | 2.60670018196   <-> 2.44202899933   || 1
we              | een             | 2.52760004997   <-> 2.39468288422   || 1
een             | onvervalste     | 9.69700717926   <-> 9.07220458984   || 1
onvervalste     | mooie           | 7.48132991791   <-> 7.3725938797    || 1
mooie           | <UNK>           | 1.84602475166   <-> 2.00986886024   || 0
<UNK>           | </s>            | 1.37075996399   <-> 1.13367438316   || 1
<s>             | de              | 2.05505800247   <-> 2.14752054214   || 0
de              | atmosfeer       | 7.99575471878   <-> 8.94167709351   || 0
atmosfeer       | gaat            | 4.80307579041   <-> 4.87533521652   || 0
gaat            | enkele          | 7.28285360336   <-> 7.60478496552   || 0
enkele          | dagen           | 3.29885172844   <-> 2.7965323925    || 1
dagen           | de              | 4.34062576294   <-> 5.35327625275   || 0
de              | rustige         | 9.68736457825   <-> 9.20352363586   || 1
rustige         | toer            | 7.87615060806   <-> 7.08463668823   || 1
toer            | op              | 2.44285941124   <-> 2.09922266006   || 1
op              | </s>            | 1.53279066086   <-> 2.00400829315   || 0
<s>             | de              | 2.03852963448   <-> 1.98758149147   || 1
de              | dag             | 6.0792131424    <-> 5.28434324265   || 1
dag             | begint          | 5.92450761795   <-> 4.90833711624   || 1
begint          | met             | 3.54364013672   <-> 3.90950870514   || 0
met             | wat             | 5.57991504669   <-> 5.64125871658   || 0
wat             | nevel           | 7.51940727234   <-> 6.65910339355   || 1
nevel           | of              | 3.41451597214   <-> 3.09839105606   || 1
of              | verspreid       | 9.54150390625   <-> 10.1854000092   || 0
verspreid       | enkele          | 9.3579750061    <-> 7.77817964554   || 1
enkele          | mistbanken      | 5.46821498871   <-> 3.65144586563   || 1
mistbanken      | die             | 4.63948440552   <-> 3.87126755714   || 1
die             | op              | 4.01272439957   <-> 3.66705417633   || 1
op              | de              | 1.4246070385    <-> 1.43800854683   || 0
de              | weg             | 5.28190279007   <-> 6.07240962982   || 0
weg             | verraderlijk    | 14.6963233948   <-> 14.8131685257   || 0
verraderlijk    | uit             | 6.31554222107   <-> 6.65262031555   || 0
uit             | de              | 1.28304076195   <-> 1.23757123947   || 1
de              | hoek            | 6.13686466217   <-> 5.54144144058   || 1
hoek            | kunnen          | 3.75145578384   <-> 3.95718693733   || 0
kunnen          | komen           | 3.44973611832   <-> 2.54991292953   || 1
komen           | </s>            | 0.421729207039  <-> 0.330281615257  || 1
<s>             | al              | 5.70101928711   <-> 5.54372692108   || 1
al              | vrij            | 7.89137172699   <-> 8.09958362579   || 0
vrij            | snel            | 5.04371500015   <-> 3.98843073845   || 1
snel            | maakt           | 7.0382232666    <-> 6.71786499023   || 1
maakt           | de              | 1.66789233685   <-> 1.4309066534    || 1
de              | zon             | 3.99326705933   <-> 4.30649614334   || 0
zon             | op              | 3.69188022614   <-> 3.74754619598   || 0
op              | deze            | 5.61517620087   <-> 4.99930906296   || 1
deze            | laatste         | 6.2585144043    <-> 5.40124464035   || 1
laatste         | dag             | 3.63301181793   <-> 2.78292489052   || 1
dag             | van             | 3.63857007027   <-> 3.34931635857   || 1
van             | september       | 8.44616317749   <-> 8.10958957672   || 1
september       | er              | 6.52909517288   <-> 5.49470329285   || 1
er              | werk            | 8.14792633057   <-> 7.46272373199   || 1
werk            | van             | 2.33041858673   <-> 2.34506702423   || 0
van             | om              | 5.03601264954   <-> 4.92205762863   || 1
om              | het             | 2.65264415741   <-> 2.56842708588   || 1
het             | ochtendgrijs    | 8.08729553223   <-> 7.74982070923   || 1
ochtendgrijs    | op              | 2.78772187233   <-> 3.17510652542   || 0
op              | te              | 0.979498744011  <-> 0.81356048584   || 1
te              | lossen          | 3.89739060402   <-> 3.20464253426   || 1
lossen          | en              | 2.62822008133   <-> 3.06878519058   || 0
en              | dan             | 4.20548629761   <-> 4.25837230682   || 0
dan             | heeft           | 5.79106712341   <-> 5.84666252136   || 0
heeft           | ze              | 2.97489333153   <-> 2.9845123291    || 0
ze              | het             | 3.15996146202   <-> 3.01584553719   || 1
het             | firmament       | 11.8277931213   <-> 12.0571727753   || 0
firmament       | helemaal        | 6.44277143478   <-> 6.30924129486   || 1
helemaal        | voor            | 4.26609373093   <-> 4.37127876282   || 0
voor            | zich            | 5.79140710831   <-> 5.88272666931   || 0
zich            | alleen          | 5.54457807541   <-> 6.55487537384   || 0
alleen          | </s>            | 2.58316206932   <-> 2.8796646595    || 0
<s>             | de              | 2.07235169411   <-> 2.09898304939   || 0
de              | vochtige        | 10.6402330399   <-> 11.3295459747   || 0
vochtige        | zeelucht        | 11.4753913879   <-> 9.61670684814   || 1
zeelucht        | van             | 3.93272399902   <-> 1.39280867577   || 1
van             | de              | 1.33328473568   <-> 1.0435847044    || 1
de              | Noordzee        | 6.63383293152   <-> 7.31521177292   || 0
Noordzee        | wordt           | 3.40029859543   <-> 3.16539502144   || 1
wordt           | namelijk        | 7.17638397217   <-> 6.9474773407    || 1
namelijk        | de              | 3.34564638138   <-> 3.413864851     || 0
de              | pas             | 8.53390884399   <-> 7.88066673279   || 1
